Frequency (GHz), S11 (dB)
1.041000000000000014e+01,-2.419406804551116785e+00
1.041999999999999993e+01,-2.339056100875610777e+00
1.042999999999999972e+01,-2.262720239995586358e+00
1.043999999999999950e+01,-2.190148273349522334e+00
1.044999999999999929e+01,-2.121107781447089113e+00
1.046000000000000085e+01,-2.055383317466815907e+00
1.047000000000000064e+01,-1.992774996000249432e+00
1.048000000000000043e+01,-1.933097212113770613e+00
1.049000000000000021e+01,-1.876177477565299068e+00
1.050000000000000000e+01,-1.821855362466267225e+00
1.050999999999999979e+01,-1.769981531953961129e+00
1.051999999999999957e+01,-1.720416868558880985e+00
1.052999999999999936e+01,-1.673031671940883314e+00
1.053999999999999915e+01,-1.627704928540304241e+00
1.055000000000000071e+01,-1.584323644465704062e+00
1.056000000000000050e+01,-1.542782235626577458e+00
1.057000000000000028e+01,-1.502981969731740808e+00
1.058000000000000007e+01,-1.464830455317963853e+00
1.058999999999999986e+01,-1.428241173460358615e+00
1.059999999999999964e+01,-1.393133048248807349e+00
1.060999999999999943e+01,-1.359430052503558972e+00
1.061999999999999922e+01,-1.327060845548762469e+00
1.063000000000000078e+01,-1.295958440174595605e+00
1.064000000000000057e+01,-1.266059896195649070e+00
1.065000000000000036e+01,-1.237306038263672692e+00
1.066000000000000014e+01,-1.209641195815875703e+00
1.066999999999999993e+01,-1.183012963241697024e+00
1.067999999999999972e+01,-1.157371978530830958e+00
1.068999999999999950e+01,-1.132671718828259566e+00
1.069999999999999929e+01,-1.108868311467791523e+00
1.071000000000000085e+01,-1.085920359187171780e+00
1.072000000000000064e+01,-1.063788778346657748e+00
1.073000000000000043e+01,-1.042436649079244937e+00
1.074000000000000021e+01,-1.021829076397799740e+00
1.075000000000000000e+01,-1.001933061370866573e+00
1.075999999999999979e+01,-9.827173815579783867e-01
1.076999999999999957e+01,-9.641524799662576362e-01
1.077999999999999936e+01,-9.462103618544612793e-01
1.078999999999999915e+01,-9.288644987690639621e-01
1.080000000000000071e+01,-9.120897392497779865e-01
1.081000000000000050e+01,-8.958622256896795477e-01
1.082000000000000028e+01,-8.801593168789603183e-01
1.083000000000000007e+01,-8.649595158004884654e-01
1.083999999999999986e+01,-8.502424022814978333e-01
1.084999999999999964e+01,-8.359885701385028067e-01
1.085999999999999943e+01,-8.221795684818991035e-01
1.086999999999999922e+01,-8.087978468743375338e-01
1.088000000000000078e+01,-7.958267040612354570e-01
1.089000000000000057e+01,-7.832502400147122179e-01
1.090000000000000036e+01,-7.710533110523898337e-01
1.091000000000000014e+01,-7.592214878117804489e-01
1.091999999999999993e+01,-7.477410158778929894e-01
1.092999999999999972e+01,-7.365987788774346345e-01
1.093999999999999950e+01,-7.257822638674609195e-01
1.094999999999999929e+01,-7.152795288596213164e-01
1.096000000000000085e+01,-7.050791723329701277e-01
1.097000000000000064e+01,-6.951703045996738828e-01
1.098000000000000043e+01,-6.855425208980004959e-01
1.099000000000000021e+01,-6.761858760963390669e-01
1.100000000000000000e+01,-6.670908609007110135e-01
1.100999999999999979e+01,-6.582483794658708920e-01
1.101999999999999957e+01,-6.496497283176998483e-01
1.102999999999999936e+01,-6.412865765011038777e-01
1.103999999999999915e+01,-6.331509468737315238e-01
1.105000000000000071e+01,-6.252351984717836597e-01
1.106000000000000050e+01,-6.175320098790694212e-01
1.107000000000000028e+01,-6.100343635356595406e-01
1.108000000000000007e+01,-6.027355309266744232e-01
1.108999999999999986e+01,-5.956290585960702932e-01
1.109999999999999964e+01,-5.887087549339200532e-01
1.110999999999999943e+01,-5.819686776894685831e-01
1.111999999999999922e+01,-5.754031221651738637e-01
1.113000000000000078e+01,-5.690066100502757518e-01
1.114000000000000057e+01,-5.627738788550552540e-01
1.115000000000000036e+01,-5.566998719095864745e-01
1.116000000000000014e+01,-5.507797288932050339e-01
1.116999999999999993e+01,-5.450087768631215468e-01
1.117999999999999972e+01,-5.393825217526938554e-01
1.118999999999999950e+01,-5.338966403118499127e-01
1.119999999999999929e+01,-5.285469724636995270e-01
